bench,freq_mhz,tile,N,run_idx,t_start,t_end,duration_s
cholesky_mustard,1365,16,9600,2,1776287134.6393085,1776287135.5717442,0.9324357509613037
cholesky_mustard,1365,16,9600,3,1776287135.8858118,1776287137.0108347,1.1250228881835938
cholesky_mustard,1365,16,9600,4,1776287137.177494,1776287137.9375434,0.7600493431091309
cholesky_mustard,1290,16,9600,0,1776287157.7500553,1776287158.4014573,0.6514019966125488
cholesky_mustard,1290,16,9600,1,1776287158.6098442,1776287159.2609556,0.651111364364624
cholesky_mustard,1290,16,9600,2,1776287159.4066885,1776287160.0499456,0.6432571411132812
cholesky_mustard,1290,16,9600,3,1776287160.221627,1776287160.872809,0.6511819362640381
cholesky_mustard,1290,16,9600,4,1776287161.0715876,1776287161.7288198,0.6572322845458984
cholesky_mustard,1215,16,9600,0,1776287181.9630926,1776287182.990447,1.0273544788360596
cholesky_mustard,1215,16,9600,1,1776287183.1912887,1776287184.18843,0.9971413612365723
cholesky_mustard,1215,16,9600,2,1776287184.3489852,1776287185.0199795,0.6709942817687988
cholesky_mustard,1215,16,9600,3,1776287185.1666915,1776287185.83737,0.6706783771514893
cholesky_mustard,1215,16,9600,4,1776287186.0060487,1776287186.6608663,0.6548175811767578
cholesky_mustard,1140,16,9600,0,1776287206.2204394,1776287206.8928583,0.6724188327789307
cholesky_mustard,1140,16,9600,1,1776287207.1281774,1776287207.7942982,0.6661207675933838
cholesky_mustard,1140,16,9600,2,1776287207.93523,1776287208.6170802,0.6818501949310303
cholesky_mustard,1140,16,9600,3,1776287208.7879004,1776287209.4505517,0.6626513004302979
cholesky_mustard,1140,16,9600,4,1776287209.6339078,1776287210.304948,0.6710402965545654
cholesky_mustard,1065,16,9600,0,1776287231.201391,1776287231.8770323,0.6756412982940674
cholesky_mustard,1065,16,9600,1,1776287232.0452776,1776287232.7220135,0.6767358779907227
cholesky_mustard,1065,16,9600,2,1776287232.859045,1776287233.5449507,0.6859056949615479
cholesky_mustard,1065,16,9600,3,1776287233.6681802,1776287234.3282757,0.6600954532623291
cholesky_mustard,1065,16,9600,4,1776287234.4979603,1776287235.1641624,0.6662020683288574
cholesky_mustard,990,16,9600,0,1776287256.4177656,1776287257.464686,1.0469202995300293
cholesky_mustard,990,16,9600,1,1776287257.6614907,1776287258.7101915,1.0487008094787598
cholesky_mustard,990,16,9600,2,1776287258.8606312,1776287259.8608346,1.0002033710479736
cholesky_mustard,990,16,9600,3,1776287260.060102,1776287261.1263888,1.0662868022918701
cholesky_mustard,990,16,9600,4,1776287261.2921903,1776287262.3175263,1.0253360271453857
cholesky_mustard,915,16,9600,0,1776287285.4304216,1776287286.433712,1.0032904148101807
cholesky_mustard,915,16,9600,1,1776287286.6015654,1776287287.3230367,0.7214713096618652
cholesky_mustard,915,16,9600,2,1776287287.4499605,1776287288.1682422,0.7182817459106445
cholesky_mustard,915,16,9600,3,1776287288.3197355,1776287289.0296738,0.7099382877349854
cholesky_mustard,915,16,9600,4,1776287289.1826067,1776287289.8830895,0.7004828453063965
cholesky_mustard,840,16,9600,0,1776287311.909722,1776287312.8483357,0.9386136531829834
cholesky_mustard,840,16,9600,1,1776287313.0529773,1776287313.928408,0.8754305839538574
cholesky_mustard,840,16,9600,2,1776287314.0944505,1776287315.0453975,0.9509470462799072
cholesky_mustard,840,16,9600,3,1776287315.24836,1776287316.349558,1.1011981964111328
cholesky_mustard,840,16,9600,4,1776287316.5040526,1776287317.365304,0.8612513542175293
cholesky_mustard,765,16,9600,0,1776287338.5556226,1776287339.5495954,0.9939727783203125
cholesky_mustard,765,16,9600,1,1776287339.7594419,1776287340.6205778,0.8611359596252441
cholesky_mustard,765,16,9600,2,1776287340.7880542,1776287341.6940053,0.9059510231018066
cholesky_mustard,765,16,9600,3,1776287341.9030712,1776287343.0774932,1.174422025680542
cholesky_mustard,765,16,9600,4,1776287343.2333775,1776287344.2030966,0.9697191715240479
cholesky_mustard,690,16,9600,0,1776287366.62206,1776287367.4701548,0.8480947017669678
cholesky_mustard,690,16,9600,1,1776287367.6416636,1776287368.4410453,0.7993817329406738
cholesky_mustard,690,16,9600,2,1776287368.5690827,1776287369.42083,0.8517472743988037
cholesky_mustard,690,16,9600,3,1776287369.573797,1776287370.4073708,0.8335738182067871
cholesky_mustard,690,16,9600,4,1776287370.5317545,1776287371.3591523,0.8273978233337402
cholesky_mustard,615,16,9600,0,1776287392.1955333,1776287393.3423524,1.1468191146850586
cholesky_mustard,615,16,9600,1,1776287393.546187,1776287394.5027802,0.9565932750701904
cholesky_mustard,615,16,9600,2,1776287394.6602962,1776287395.610734,0.9504377841949463
cholesky_mustard,615,16,9600,3,1776287395.8144064,1776287396.7482867,0.9338803291320801
