pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,715,GEMM(14;10;8),1777470880615048438,1777470924892182774,1777470689082600694
2,0,729,SYRK(14;14;8),1777470880616797430,1777470924892454134,1777470689058227446
2,0,716,GEMM(15;10;8),1777470880615048438,1777470924890927350,1777470689045679350
2,0,730,GEMM(15;14;8),1777470880615048438,1777470924974357750,1777470689597782262
2,0,739,SYRK(10;10;9),1777470929602253046,1777470973687067894,1777470689546529014
2,0,740,GEMM(11;10;9),1777470929602252022,1777470973707714806,1777470689546529014
2,0,741,GEMM(12;10;9),1777470929602253046,1777470973687066870,1777470689151402230
2,0,742,GEMM(13;10;9),1777470929602253046,1777470973687066870,1777470689151399158
2,0,743,GEMM(14;10;9),1777470929604354294,1777470973687067894,1777470689151400182
2,0,757,SYRK(14;14;9),1777470925965741302,1777470973687067894,1777470689151398134
2,0,744,GEMM(15;10;9),1777470929602253046,1777470973687109878,1777470689151399158
2,0,758,GEMM(15;14;9),1777470929602252022,1777470973686988022,1777470689798328566
2,0,760,POTRF(10;10),1777470973687547126,1777470973710780662,1777470689546529014
2,0,761,TRSM(11;10),1777470973710786806,1777470974099094774,1777470689547543798
2,0,762,TRSM(12;10),1777470973710786806,1777470974009241846,1777470689546416374
2,0,763,TRSM(13;10),1777470973710785782,1777470974009137398,1777470689546382582
2,0,764,TRSM(14;10),1777470973710785782,1777470973962563830,1777470689546345718
2,0,765,TRSM(15;10),1777470973710785782,1777470974009202934,1777470689546312950
2,0,778,SYRK(14;14;10),1777470973962570998,1777470974099094774,1777470689798425846
2,0,779,GEMM(15;14;10),1777470974009210102,1777470974101412086,1777470689800769782
2,0,793,SYRK(14;14;11),1777471009077347574,1777471025996058870,1777470973687825654
2,0,794,GEMM(15;14;11),1777471009077347574,1777471025831694582,1777470973949654262
2,0,803,SYRK(14;14;12),1777471034381788406,1777471045005469942,1777470973935343862
2,0,804,GEMM(15;14;12),1777471038250325238,1777471045105883382,1777470973906827510
2,0,809,SYRK(14;14;13),1777471045513518326,1777471049807614198,1777470973892502774
2,0,810,GEMM(15;14;13),1777471049290318070,1777471049826063606,1777470973921143030
2,0,812,POTRF(14;14),1777471049807903990,1777471049829222646,1777470856945293558
2,0,813,TRSM(15;14),1777471049829227766,1777471049876142326,1777470856945293558
