pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,699,TRSM_L(3,14),1777919659565057280,1777919659672268032,1777919659565054208
0,0,702,GEMM(4,4,3),1777919659672275200,1777919659863642368,1777919659672271104
0,0,704,GEMM(4,6,3),1777919659863649536,1777919660055007488,1777919659863646464
0,0,706,GEMM(4,8,3),1777919660055014656,1777919660246325504,1777919660055010560
0,0,708,GEMM(4,10,3),1777919660246332672,1777919660437675264,1777919660246329600
0,0,710,GEMM(4,12,3),1777919660437682432,1777919660628988160,1777919660437679360
0,0,712,GEMM(4,14,3),1777919660628995328,1777919660820315392,1777919660628992256
0,0,714,GEMM(5,4,3),1777919660820322560,1777919661030435072,1777919660820318464
0,0,716,GEMM(5,6,3),1777919661030442240,1777919661240622336,1777919661030439168
0,0,718,GEMM(5,8,3),1777919661240629504,1777919661450763520,1777919661240626432
0,0,720,GEMM(5,10,3),1777919661450770688,1777919661661015296,1777919661450767616
0,0,722,GEMM(5,12,3),1777919661661023488,1777919661871222016,1777919661661019392
0,0,724,GEMM(5,14,3),1777919661871229184,1777919662081328384,1777919661871226112
0,0,726,GEMM(6,4,3),1777919662081334528,1777919662277028096,1777919662081331456
0,0,728,GEMM(6,6,3),1777919662277035264,1777919662472812800,1777919662277031168
0,0,730,GEMM(6,8,3),1777919662472819968,1777919662668603648,1777919662472816896
0,0,732,GEMM(6,10,3),1777919662668610816,1777919662864387328,1777919662668607744
0,0,734,GEMM(6,12,3),1777919662864394496,1777919663060119808,1777919662864390400
0,0,736,GEMM(6,14,3),1777919663060126976,1777919663255872768,1777919663060122880
0,0,738,GEMM(7,4,3),1777919663255879936,1777919663466214656,1777919663255876864
0,0,740,GEMM(7,6,3),1777919663466221824,1777919663676561664,1777919663466218752
0,0,742,GEMM(7,8,3),1777919663676568832,1777919663886842112,1777919663676564736
0,0,744,GEMM(7,10,3),1777919663886849280,1777919664097096960,1777919663886845184
0,0,746,GEMM(7,12,3),1777919664097105152,1777919664307366144,1777919664097101056
0,0,748,GEMM(7,14,3),1777919664307373312,1777919664517604608,1777919664307370240
0,0,750,GEMM(8,4,3),1777919664517611776,1777919664708975872,1777919664517607680
0,0,752,GEMM(8,6,3),1777919664708983040,1777919664900270336,1777919664708979968
0,0,754,GEMM(8,8,3),1777919664900277504,1777919665091567872,1777919664900274432
0,0,756,GEMM(8,10,3),1777919665091575040,1777919665282852096,1777919665091571968
0,0,758,GEMM(8,12,3),1777919665282859264,1777919665474145536,1777919665282855168
0,0,760,GEMM(8,14,3),1777919665474152704,1777919665665427712,1777919665474149632
0,0,762,GEMM(9,4,3),1777919665665434880,1777919665875629312,1777919665665430784
0,0,764,GEMM(9,6,3),1777919665875635456,1777919666085684480,1777919665875632384
0,0,766,GEMM(9,8,3),1777919666085691648,1777919666295916800,1777919666085688576
0,0,768,GEMM(9,10,3),1777919666295923968,1777919666506054912,1777919666295920896
